A124	A4F	Antonov AN-124 Ruslan
A140	A40	Antonov AN-140
A148	A81	Antonov An-148
A158	A58	Antonov An-158
A19N	31N	Airbus A319neo
A20N	32N	Airbus A320neo
A210	N/A	Aquila A 210
A21N	32Q	Airbus A321neo
A225	A5F	Antonov An-225 Mriya
A306	AB6	Airbus A300-600
A30B	AB4	Airbus A300B2, A300B4, and A300C4
A310	312	Airbus A310-200
A310	313	Airbus A310-300
A318	318	Airbus A318
A318	32C	Airbus A318 (sharklets)
A319	319	Airbus A319
A319	32D	Airbus A319 (sharklets)
A320	320	Airbus A320
A320	32A	Airbus A320 (sharklets)
A321	321	Airbus A321
A321	32B	Airbus A321 (sharklets)
A332	332	Airbus A330-200
A333	333	Airbus A330-300
A337	[to be determined]	Airbus A330-700 "Beluga XL"
A338	338	Airbus A330-800neo
A339	339	Airbus A330-900neo
A342	342	Airbus A340-200
A343	343	Airbus A340-300
A345	345	Airbus A340-500
A346	346	Airbus A340-600
A359	359	Airbus A350-900
A35K	351	Airbus A350-1000
A388	388	Airbus A380-800
A3ST	ABB	Airbus A300-600ST "Super Transporter" / "Beluga"
A400		Airbus A400M Atlas
A5	N/A	ICON A5
A748	HS7	Hawker Siddeley HS 748
AC68	ACP	Gulfstream/Rockwell (Aero) Commander
AC90	ACT	Gulfstream/Rockwell (Aero) Turbo Commander
AJ27	C27	COMAC ARJ21
AN12	ANF	Antonov AN-12
AN2	N/A	Antonov An-2
AN24	AN4	Antonov AN-24
AN26	A26	Antonov AN-26
AN28	A28	Antonov AN-28
AN30	A30	Antonov AN-30
AN32	A32	Antonov AN-32
AN72	AN7	Antonov AN-72 / AN-74
AP22	N/A	Aeroprakt A-22 Foxbat / A-22 Valor / A-22 Vision
AS32	APH	Eurocopter AS332 Super Puma
AS50	NDE	Eurocopter AS350 Écureuil / AS355 Ecureuil 2 / AS550 Fennec
AT43	AT4	Aerospatiale/Alenia ATR 42-300 / 320
AT45	AT5	Aerospatiale/Alenia ATR 42-500
AT46	ATR	Aerospatiale/Alenia ATR 42-600
AT72	AT7	Aerospatiale/Alenia ATR 72
AT73	ATR	Aerospatiale/Alenia ATR 72-200 series
AT75	ATR	Aerospatiale/Alenia ATR 72-500
AT76	ATR	Aerospatiale/Alenia ATR 72-600
ATL	ATL	Robin ATL
ATP	ATP	British Aerospace ATP
B105	MBH	Eurocopter (MBB) Bo.105
B190	BEH	Beechcraft 1900
B212	BH2	Bell 212
B37M	7M7	Boeing 737 MAX 7
B38M	7M8	Boeing 737 MAX 8
B39M	7M9	Boeing 737 MAX 9
B3XM	7MJ	Boeing 737 MAX 10
B412	BH2	Bell 412
B429	BH2	Bell 429
B461	141	BAe 146-100
B462	142	BAe 146-200
B463	143	BAe 146-300
B703	703	Boeing 707
B712	717	Boeing 717
B720	B72	Boeing 720B
B721	721	Boeing 727-100
B722	722	Boeing 727-200
B732	732	Boeing 737-200
B733	733	Boeing 737-300
B734	734	Boeing 737-400
B735	735	Boeing 737-500
B736	736	Boeing 737-600
B737	73G	Boeing 737-700
B738	738	Boeing 737-800
B739	739	Boeing 737-900
B741	741	Boeing 747-100
B741	74T	Boeing 747-100 Freighter
B742	742	Boeing 747-200
B742	74C	Boeing 747-200M
B742	74X	Boeing 747-200F
B743	743	Boeing 747-300
B743	74D	Boeing 747-300M
B744	744	Boeing 747-400
B744	74E	Boeing 747-400M
B744	74Y	Boeing 747-400F
B748	74H	Boeing 747-8I
B748	74N	Boeing 747-8F
B74D	74J	Boeing 747-400D (deprecated 2018: no longer flying)
B74R	74R	Boeing 747SR
B74R	74V	Boeing 747SR Freighter
B74S	74L	Boeing 747SP
B752	752	Boeing 757-200
B752	75F	Boeing 757F
B753	753	Boeing 757-300
B762	762	Boeing 767-200
B763	763	Boeing 767-300
B764	764	Boeing 767-400ER
B772	772	Boeing 777-200 / Boeing 777-200ER
B773	773	Boeing 777-300
B778	778	Boeing 777-8
B779	779	Boeing 777-9
B77L	77X	Boeing 777-200 Freighter
B77L	77L	Boeing 777-200LR
B77W	77W	Boeing 777-300ER
B788	788	Boeing 787-8
B789	789	Boeing 787-9
B78X	781	Boeing 787-10
BA11	B11	British Aerospace (BAC) One Eleven
BCS1	221	Airbus A220-100
BCS3	223	Airbus A220-300
BE40	N/A	Hawker 400
BE55	N/A	Beechcraft Baron / 55 Baron
BE58	N/A	Beechcraft Baron / 58 Baron
BE99		Beechcraft Model 99
BELF	SHB	Shorts SC-5 Belfast
BER2	N/A	Beriev Be-200 Altair
BL8	N/A	8KCAB Decathlon, 8GCBC Scout
BLCF	74B	Boeing 747 LCF Dreamlifter
